Date,Onset_PD,Cumulative_Onset,Reported_PDH,Cumulative_RepH,Reported_PDA,Cumulative_RepA,Deaths_PD,Cumulative_Deaths
2020-03-03,7,27,1,5,0,3,1,1
2020-03-04,6,33,1,6,1,4,0,1
2020-03-05,3,36,1,7,2,6,0,1
2020-03-06,7,43,0,7,0,6,0,1
2020-03-07,14,57,0,7,1,7,0,1
2020-03-08,8,65,1,8,2,9,0,1
2020-03-09,31,96,1,9,0,9,0,1
2020-03-10,24,120,2,11,4,13,0,1
2020-03-11,26,146,4,15,12,25,0,1
2020-03-12,51,197,5,20,16,41,0,1
2020-03-13,58,255,5,25,31,72,1,2
2020-03-14,52,307,0,25,25,97,0,2
2020-03-15,55,362,5,30,15,112,0,2
2020-03-16,66,428,7,37,27,139,0,2
2020-03-17,68,496,4,41,39,178,1,3
2020-03-18,60,556,6,47,33,211,1,4
2020-03-19,67,623,42,89,47,258,0,4
2020-03-20,106,729,32,121,29,287,0,4
2020-03-21,58,787,25,146,6,293,0,4
2020-03-22,77,864,25,171,6,299,1,5
2020-03-23,103,967,37,208,27,326,1,6
2020-03-24,91,1058,72,280,37,363,0,6
2020-03-25,105,1163,46,326,35,398,1,7
2020-03-26,155,1318,60,386,51,449,3,10
2020-03-27,125,1443,68,454,47,496,4,14
2020-03-28,113,1556,54,508,40,536,6,20
2020-03-29,103,1659,35,543,27,563,4,24
2020-03-30,184,1843,47,590,93,656,5,29
2020-03-31,133,1976,32,622,65,721,9,38
2020-04-01,239,2215,71,693,57,778,7,45
2020-04-02,185,2400,57,750,78,856,11,56
2020-04-03,189,2589,79,829,75,931,10,66
2020-04-04,206,2795,56,885,42,973,11,77
2020-04-05,209,3004,72,957,35,1008,12,89
2020-04-06,289,3293,125,1082,114,1122,20,109
2020-04-07,248,3541,109,1191,117,1239,21,130
2020-04-08,298,3839,108,1299,123,1362,14,144
2020-04-09,303,4142,114,1413,98,1460,23,167
2020-04-10,510,4652,131,1544,132,1592,31,198
2020-04-11,352,5004,114,1658,91,1683,37,235
2020-04-12,394,5398,133,1791,74,1757,28,263
2020-04-13,504,5902,190,1981,262,2019,34,297
2020-04-14,464,6366,173,2154,260,2279,42,339
2020-04-15,625,6991,194,2348,249,2528,42,381
2020-04-16,557,7548,212,2560,257,2785,45,426
2020-04-17,664,8212,187,2747,328,3113,45,471
2020-04-18,688,8900,230,2977,142,3255,56,527
2020-04-19,620,9520,222,3199,144,3399,64,591
2020-04-20,999,10519,320,3519,431,3830,75,666
2020-04-21,667,11186,300,3819,446,4276,88,754
2020-04-22,655,11841,300,4119,389,4665,70,824
2020-04-23,676,12517,308,4427,353,5018,82,906
2020-04-24,784,13301,327,4754,555,5573,107,1013
2020-04-25,816,14117,295,5049,204,5777,114,1127
2020-04-26,743,14860,300,5349,172,5949,137,1264
2020-04-27,892,15752,363,5712,546,6495,104,1368
2020-04-28,855,16607,388,6100,552,7047,113,1481
2020-04-29,691,17298,392,6492,531,7578,155,1636
2020-04-30,986,18284,358,6850,528,8106,155,1791
2020-05-01,1450,19734,339,7189,304,8410,159,1950
2020-05-02,878,20612,273,7462,301,8711,126,2076
2020-05-03,914,21526,280,7742,286,8997,141,2217
2020-05-04,1175,22701,372,8114,892,9889,167,2384
2020-05-05,1163,23864,352,8466,624,10513,156,2540
2020-05-06,1055,24919,315,8781,756,11269,150,2690
2020-05-07,1151,26070,402,9183,790,12059,140,2830
2020-05-08,1326,27396,388,9571,882,12941,154,2984
2020-05-09,1140,28536,312,9883,375,13316,149,3133
2020-05-10,1616,30152,404,10287,239,13555,155,3288
2020-05-11,1420,31572,546,10833,908,14463,157,3445
2020-05-12,1238,32810,480,11313,942,15405,172,3617
2020-05-13,1174,33984,473,11786,1026,16431,188,3805
2020-05-14,1108,35092,474,12260,892,17323,182,3987
2020-05-15,1767,36859,506,12766,1080,18403,209,4196
2020-05-16,1277,38136,429,13195,562,18965,192,4388
2020-05-17,1231,39367,375,13570,330,19295,226,4614
2020-05-18,1809,41176,570,14140,1238,20533,214,4828
2020-05-19,1313,42489,466,14606,1165,21698,210,5038
2020-05-20,2006,44495,498,15104,1224,22922,176,5214
2020-05-21,1160,45655,493,15597,1182,24104,232,5446
2020-05-22,1508,47163,459,16056,1188,25292,204,5650
2020-05-23,1289,48452,354,16410,461,25753,190,5840
2020-05-24,1212,49664,402,16812,324,26077,217,6057
2020-05-25,1967,51631,586,17398,1275,27352,211,6268
2020-05-26,1441,53072,489,17887,1134,28486,221,6489
2020-05-27,1365,54437,513,18400,1247,29733,197,6686
2020-05-28,1549,55986,539,18939,1006,30739,206,6892
2020-05-29,1493,57479,496,19435,1162,31901,195,7087
2020-05-30,1426,58905,463,19898,502,32403,199,7286
2020-05-31,1331,60236,443,20341,310,32713,232,7518
