Date,Onset_PD,Cumulative_Onset,Reported_PD,Cumulative_Rep,Deaths_PD,Cumulative_Deaths
19/02/2020,1,1,0,0,0,0
20/02/2020,0,1,0,0,0,0
21/02/2020,1,2,0,0,0,0
22/02/2020,1,3,0,0,0,0
23/02/2020,1,4,0,0,0,0
24/02/2020,0,4,0,0,0,0
25/02/2020,0,4,0,0,0,0
26/02/2020,1,5,0,0,0,0
27/02/2020,1,6,3,3,0,0
28/02/2020,2,8,1,4,0,0
29/02/2020,2,10,0,4,0,0
1/3/2020,2,12,0,4,0,0
2/3/2020,6,18,1,5,0,0
3/3/2020,5,23,0,5,0,0
4/3/2020,4,27,2,7,0,0
5/3/2020,3,30,1,8,0,0
6/3/2020,6,36,0,8,0,0
7/3/2020,14,50,1,9,0,0
8/3/2020,8,58,3,12,0,0
9/3/2020,29,87,1,13,0,0
10/3/2020,24,111,5,18,0,0
11/3/2020,24,135,14,32,0,0
12/3/2020,22,157,19,51,0,0
13/03/2020,42,199,36,87,0,0
14/03/2020,43,242,25,112,0,0
15/03/2020,48,290,20,132,0,0
16/03/2020,59,349,32,164,0,0
17/03/2020,35,384,39,203,0,0
18/03/2020,37,421,37,240,1,1
19/03/2020,44,465,52,292,0,1
20/03/2020,73,538,33,325,0,1
21/03/2020,39,577,17,342,0,1
22/03/2020,51,628,16,358,1,2
23/03/2020,77,705,38,396,1,3
