Time,Is,D
0,9.28E+00,190.074
0.146,9.39E+00,190.0879
0.292,9.49E+00,190.1019
0.438,9.60E+00,190.1161
0.584,9.71E+00,190.1304
0.73,9.81E+00,190.1449
0.876,9.92E+00,190.1596
1.022,10.0229,190.1744
1.168,10.1267,190.1894
1.314,10.2299,190.2045
1.46,10.3322,190.2198
1.606,10.4336,190.2352
1.752,10.5342,190.2508
1.898,10.6338,190.2665
2.044,10.7324,190.2824
2.19,10.83,190.2984
2.336,10.9265,190.3145
2.482,11.022,190.3308
2.628,11.1163,190.3473
2.774,11.2095,190.3639
2.92,11.3016,190.3806
3.066,11.3925,190.3974
3.212,11.4822,190.4144
3.358,11.5707,190.4316
3.504,11.6579,190.4488
3.65,11.744,190.4662
3.796,11.8288,190.4837
3.942,11.9123,190.5013
4.088,11.9946,190.5191
4.234,12.0757,190.537
4.38,12.1555,190.555
4.526,12.234,190.5731
4.672,12.3112,190.5913
4.818,12.3872,190.6097
4.964,12.4619,190.6281
5.11,12.5354,190.6467
5.256,12.6075,190.6654
5.402,12.6785,190.6842
5.548,12.7482,190.7031
5.694,12.8166,190.722
5.84,12.8838,190.7411
5.986,12.9497,190.7603
6.132,13.0145,190.7796
6.278,13.078,190.799
6.424,13.1403,190.8185
6.57,13.2014,190.838
6.716,13.2613,190.8577
6.862,13.32,190.8774
7.008,13.3775,190.8973
7.154,13.4339,190.9172
7.3,13.4891,190.9372
7.446,13.5432,190.9573
7.592,13.5961,190.9774
7.738,13.6479,190.9977
7.884,13.6986,191.018
8.03,13.7483,191.0384
8.176,13.7968,191.0588
8.322,13.8443,191.0794
8.468,13.8906,191.1
8.614,13.936,191.1206
8.76,13.9803,191.1414
8.906,14.0236,191.1622
9.052,14.0659,191.183
9.198,14.1071,191.204
9.344,14.1474,191.225
9.49,14.1868,191.246
9.636,14.2251,191.2671
9.782,14.2625,191.2883
9.928,14.299,191.3095
10.074,14.3345,191.3308
10.22,14.3692,191.3521
10.366,14.4029,191.3735
10.512,14.4358,191.3949
10.658,14.4678,191.4163
10.804,14.4989,191.4379
10.95,14.5292,191.4594
11.096,14.5586,191.481
11.242,14.5872,191.5027
11.388,14.615,191.5244
11.534,14.642,191.5461
11.68,14.6683,191.5679
11.826,14.6937,191.5897
11.972,14.7184,191.6115
12.118,14.7423,191.6334
12.264,14.7655,191.6553
12.41,14.788,191.6773
12.556,14.8097,191.6993
12.702,14.8308,191.7213
12.848,14.8511,191.7434
12.994,14.8708,191.7654
13.14,14.8898,191.7875
13.286,14.9081,191.8097
13.432,14.9258,191.8318
13.578,14.9429,191.854
13.724,14.9593,191.8762
13.87,14.9751,191.8985
14.016,14.9903,191.9207
14.162,15.0049,191.943
14.308,15.0189,191.9653
14.454,15.0323,191.9876
14.6,15.0452,192.01
14.746,15.0575,192.0323
14.892,15.0693,192.0547
15.038,15.0805,192.0771
15.184,15.0912,192.0995
15.33,15.1013,192.122
15.476,15.111,192.1444
15.622,15.1201,192.1669
15.768,15.1288,192.1893
15.914,15.137,192.2118
16.06,15.1447,192.2343
16.206,15.1519,192.2568
16.352,15.1587,192.2793
16.498,15.165,192.3018
16.644,15.1709,192.3244
16.79,15.1763,192.3469
16.936,15.1813,192.3695
17.082,15.1859,192.392
17.228,15.1901,192.4146
17.374,15.1939,192.4372
17.52,15.1973,192.4597
17.666,15.2003,192.4823
17.812,15.2029,192.5049
17.958,15.2052,192.5275
18.104,15.2071,192.5501
18.25,15.2086,192.5727
18.396,15.2097,192.5953
18.542,15.2106,192.6179
18.688,15.211,192.6405
18.834,15.2112,192.6631
18.98,15.211,192.6857
19.126,15.2105,192.7083
19.272,15.2097,192.7309
19.418,15.2086,192.7535
19.564,15.2072,192.7761
19.71,15.2054,192.7986
19.856,15.2034,192.8212
20.002,15.2011,192.8438
20.148,15.1986,192.8664
20.294,15.1957,192.889
20.44,15.1926,192.9116
20.586,15.1893,192.9341
