Fecha,Inic_Sintom_PerDay,Inic_Sintom_Cum,Ingr_Hosp_PD,Ingr_Hosp_Cum,Def_Hosp_PD,Def_Hosp_Cum
01/03/20,1,1,0,0,0,0
02/03/20,0,1,0,0,0,0
03/03/20,0,1,0,0,0,0
04/03/20,0,1,0,0,0,0
05/03/20,0,1,0,0,0,0
06/03/20,0,1,0,0,0,0
07/03/20,0,1,0,0,0,0
08/03/20,0,1,0,0,0,0
09/03/20,0,1,0,0,0,0
10/03/20,0,1,0,0,0,0
11/03/20,0,1,0,0,0,0
12/03/20,1,2,0,0,0,0
13/03/20,0,2,0,0,0,0
14/03/20,2,4,0,0,0,0
15/03/20,1,5,0,0,0,0
16/03/20,1,6,0,0,0,0
17/03/20,2,8,0,0,0,0
18/03/20,1,9,0,0,0,0
19/03/20,1,10,0,0,0,0
20/03/20,5,15,1,1,0,0
21/03/20,4,19,0,1,0,0
22/03/20,4,23,1,2,0,0
23/03/20,9,32,0,2,0,0
24/03/20,9,41,2,4,0,0
25/03/20,8,49,2,6,0,0
26/03/20,9,58,5,11,1,1
27/03/20,10,68,4,15,0,1
28/03/20,8,76,3,18,1,2
29/03/20,11,87,2,20,1,3
30/03/20,16,103,4,24,0,3
31/03/20,20,123,7,31,1,4
01/04/20,13,136,5,36,1,5
02/04/20,14,150,16,52,2,7
03/04/20,21,171,4,56,2,9
04/04/20,19,190,8,64,4,13
05/04/20,12,202,10,74,0,13
06/04/20,21,223,12,86,1,14
07/04/20,21,244,8,94,3,17
08/04/20,31,275,15,109,4,21
09/04/20,28,303,5,114,4,25
10/04/20,28,331,14,128,6,31
11/04/20,23,354,13,141,8,39
12/04/20,27,381,10,151,6,45
13/04/20,31,412,15,166,4,49
14/04/20,26,438,13,179,2,51
15/04/20,24,462,14,193,4,55
16/04/20,15,477,19,212,2,57
17/04/20,27,504,10,222,5,62
18/04/20,29,533,11,233,4,66
19/04/20,27,560,18,251,2,68
20/04/20,40,600,8,259,9,77
21/04/20,18,618,8,267,4,81
22/04/20,25,643,7,274,3,84
23/04/20,32,675,12,286,6,90
24/04/20,38,713,16,302,4,94
25/04/20,40,753,10,312,5,99
26/04/20,19,772,17,329,9,108
27/04/20,23,795,12,341,6,114
28/04/20,25,820,8,349,4,118
29/04/20,34,854,4,353,2,120
30/04/20,38,892,7,360,3,123
01/05/20,60,952,17,377,10,133
02/05/20,19,971,13,390,2,135
03/05/20,33,1004,5,395,6,141
04/05/20,34,1038,4,399,3,144
05/05/20,33,1071,8,407,10,154
06/05/20,24,1095,14,421,2,156
07/05/20,34,1129,7,428,8,164
08/05/20,35,1164,11,439,4,168
09/05/20,27,1191,17,456,2,170
10/05/20,53,1244,8,464,6,176
11/05/20,41,1285,7,471,6,182
12/05/20,37,1322,9,480,5,187
13/05/20,22,1344,12,492,2,189
14/05/20,39,1383,14,506,3,192
15/05/20,48,1431,15,521,7,199
16/05/20,37,1468,19,540,8,207
17/05/20,33,1501,17,557,7,214
18/05/20,39,1540,13,570,8,222
19/05/20,36,1576,12,582,6,228
20/05/20,55,1631,20,602,5,233
21/05/20,35,1666,9,611,14,247
22/05/20,44,1710,13,624,5,252
23/05/20,31,1741,17,641,6,258
24/05/20,34,1775,8,649,4,262
25/05/20,46,1821,9,658,4,266
26/05/20,29,1850,12,670,5,271
27/05/20,37,1887,18,688,10,281
28/05/20,39,1926,16,704,8,289
29/05/20,27,1953,12,716,10,299
30/05/20,27,1980,16,732,6,305
31/05/20,29,2009,8,740,9,314
01/06/20,56,2065,21,761,5,319
02/06/20,30,2095,22,783,7,326
03/06/20,36,2131,17,800,9,335
04/06/20,27,2158,14,814,7,342
05/06/20,34,2192,8,822,9,351
06/06/20,52,2244,30,852,8,359
07/06/20,10,2254,12,864,6,365
08/06/20,17,2271,19,883,10,375
09/06/20,9,2280,8,891,5,380
10/06/20,6,2286,12,903,3,383
11/06/20,3,2289,6,909,7,390
12/06/20,2,2291,1,910,5,395
13/06/20,,,,,7,402
14/06/20,,,,,1,403
15/06/20,,,,,1,404
16/06/20,,,,,,
17/06/20,,,,,,
